Model,association,rank,feature,importance_or_weight
Logistic Regression,real_associated,1,reuters,15.916233434649193
Logistic Regression,real_associated,2,said,15.447135602012919
Logistic Regression,real_associated,3,on,7.363452095663318
Logistic Regression,real_associated,4,washington reuters,7.081507795163485
Logistic Regression,real_associated,5,said on,6.0700953671602145
Logistic Regression,real_associated,6,washington,4.822323232142257
Logistic Regression,real_associated,7,in,4.698163213203072
Logistic Regression,real_associated,8,on wednesday,4.497202231713762
Logistic Regression,real_associated,9,reuters the,4.3115651099845085
Logistic Regression,real_associated,10,on tuesday,4.134334762440572
Logistic Regression,real_associated,11,on thursday,4.121001869713461
Logistic Regression,real_associated,12,president donald,4.096139339915907
Logistic Regression,real_associated,13,republican,4.091983711033224
Logistic Regression,real_associated,14,on friday,3.769833028530208
Logistic Regression,real_associated,15,said in,3.734456748350786
Logistic Regression,real_associated,16,on monday,3.5863108893519207
Logistic Regression,real_associated,17,reuters president,3.4742985982938395
Logistic Regression,real_associated,18,wednesday,3.352831658309285
Logistic Regression,real_associated,19,minister,3.247503945923083
Logistic Regression,real_associated,20,thursday,3.1862982034486866
Logistic Regression,real_associated,21,tuesday,3.048958706268094
Logistic Regression,real_associated,22,had,2.990099598706436
Logistic Regression,real_associated,23,presidential,2.9694190194328187
Logistic Regression,real_associated,24,its,2.9608955094479574
Logistic Regression,real_associated,25,told,2.635816564652013
Logistic Regression,fake_associated,1,video,-9.266354619905599
Logistic Regression,fake_associated,2,via,-7.6324926156126836
Logistic Regression,fake_associated,3,this,-6.0259775815174095
Logistic Regression,fake_associated,4,is,-5.1680865220526755
Logistic Regression,fake_associated,5,just,-4.999897697778169
Logistic Regression,fake_associated,6,us,-4.838075663934971
Logistic Regression,fake_associated,7,hillary,-4.70524755777446
Logistic Regression,fake_associated,8,that,-4.4799137644407026
Logistic Regression,fake_associated,9,read more,-4.3387303861215
Logistic Regression,fake_associated,10,image,-4.265101517168106
Logistic Regression,fake_associated,11,gop,-4.239032469495784
Logistic Regression,fake_associated,12,you,-4.008846301023721
Logistic Regression,fake_associated,13,featured image,-3.9999687766614067
Logistic Regression,fake_associated,14,read,-3.9955907872151655
Logistic Regression,fake_associated,15,president trump,-3.9812096005934023
Logistic Regression,fake_associated,16,featured,-3.9676517197635044
Logistic Regression,fake_associated,17,obama,-3.8882692759411746
Logistic Regression,fake_associated,18,watch,-3.8217943816224706
Logistic Regression,fake_associated,19,image via,-3.6245166138463407
Logistic Regression,fake_associated,20,com,-3.5689639405283837
Logistic Regression,fake_associated,21,mr,-3.487717761687379
Logistic Regression,fake_associated,22,the us,-3.4820307524469176
Logistic Regression,fake_associated,23,america,-3.4505283197329852
Logistic Regression,fake_associated,24,even,-2.9659519014671174
